Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
Smart Logistics Global Ltd.,SLGB,Other,10/15/2025,1.0,$5.00,$5.28,$3.63,-27.40%,S/O
TechCreate Group,TCGL,Technology,10/15/2025,2.6,$4.00,$4.93,$4.00,0.00%,S/O
Republic Power Group Ltd. (Revived),RPGL,Technology,10/14/2025,2.1,$4.00,$4.98,$1.31,-67.25%,S/O
Alliance Laundry Holdings Inc.,ALH,Industrials,10/9/2025,37.6,$22.00,$24.82,$20.76,-5.64%,S/O
"Leifras Co., Ltd.",LFS,Other,10/9/2025,1.3,$4.00,$3.11,$3.11,-22.25%,S/O
One and One Green Technologies,YDDL,Basic Materials,10/9/2025,2.0,$5.00,$5.42,$5.42,8.40%,S/O
Phoenix Education Partners,PXED,Consumer Services,10/9/2025,4.3,$32.00,$38.15,$30.31,-5.28%,S/O
PomDoctor,POM,Health Care,10/8/2025,5.0,$4.00,$4.03,$4.03,0.75%,S/O
Turn Therapeutics (Direct Listing),TTRX,Health Care,10/8/2025,17.9,$10.00,$7.00,$7.00,-30.00%,S/O
CCH Holdings Ltd.,CCHH,Consumer Services,10/3/2025,1.3,$4.00,$4.44,$4.44,11.00%,S/O
Commercial Bancgroup,CBK,Financials,10/2/2025,7.2,$24.00,$24.00,$24.00,0.00%,S/O
Agroz Inc.,AGRZ,Other,10/1/2025,1.3,$4.00,$3.12,$3.12,-22.00%,S/O
Fermi Inc.,FRMI,Financials,10/1/2025,32.5,$21.00,$32.53,$8.01,-61.82%,S/O
Neptune Insurance Holdings,NP,Financials,10/1/2025,18.4,$20.00,$24.80,$20.30,1.50%,S/O
Knorex Ltd.,KNRX,Technology,9/29/2025,3.0,$4.00,$3.20,$3.20,-20.00%,S/O
American Exceptionalism Acquisition Corp. A (Stock Only),AEXA,Blank Check,9/26/2025,30.0,$10.00,$0.00,$0.00,0.00%,S/O
Megan Holdings Ltd.,MGN,Other,9/26/2025,1.3,$4.00,$0.00,$0.00,0.00%,S/O
Pattern Group Inc.,PTRN,Consumer Goods,9/19/2025,21.4,$14.00,$15.63,$10.80,-22.86%,S/O
Platinum Analytics Cayman Ltd.,PLTS,Technology,9/19/2025,2.0,$4.00,$0.00,$0.00,0.00%,S/O
"Netskope, Inc.",NTSK,Technology,9/18/2025,47.8,$19.00,$22.49,$11.29,-40.58%,S/O
StubHub Holdings,STUB,Consumer Services,9/17/2025,34.0,$23.50,$22.00,$8.35,-64.47%,S/O
WaterBridge Infrastructure LLC,WBI,Oil & Gas,9/17/2025,31.7,$20.00,$22.83,$25.23,26.15%,S/O
ChowChow Cloud International Holdings,CHOW,Technology,9/16/2025,2.6,$4.00,$12.61,$12.61,215.25%,S/O
"Black Rock Coffee Bar, Inc.",BRCB,Consumer Services,9/12/2025,14.7,$20.00,$27.53,$16.63,-16.85%,S/O
"Gemini Space Station, Inc.",GEMI,Financials,9/12/2025,15.2,$28.00,$32.00,$8.94,-68.07%,S/O
"Hang Feng Technology Innovation Co., Ltd.",FOFO,Financials,9/12/2025,1.4,$4.00,$12.35,$12.35,208.75%,S/O
Legence Corp.,LGN,Other,9/12/2025,26.0,$28.00,$30.50,$50.41,124.94%,S/O
"Via Transportation, Inc.",VIA,Technology,9/12/2025,10.7,$46.00,$49.51,$19.04,-58.61%,S/O
LB Pharmaceuticals,LBRX,Health Care,9/11/2025,19.0,$15.00,$17.30,$23.78,58.53%,S/O
