File Date,Company,Symbol,Managers,Shares (millions),Price Low,Price High,Est $ Vol (millions),Expected To Trade,SCOOP Rating
2026-09-17,Aggreko,AGKO,Goldman Sachs/J.P. Morgan/BofA Securities/Barclays/Morgan Stanley/Jefferies/Deutsche Bank Securities/UBS Investment Bank/Baird/Santander/Wolfe Nomura Alliance/Tigress Financial Partners,0.0,,,$100.00,TBA,S/O
2026-09-17,C2 Capital Group (Withdrawn),CCLV,Dominari Securities,3.75,$4.00,$5.00,$16.88,Withdrawn,S/O
2026-09-17,Leader’s Advantage Acquisition Corp.,LEDRU,Clear Street/D. Boral Capital,15.0,$10.00,$10.00,$150.00,Priced,S/O
2026-09-17,Orion180 Insurance Group,OIG,RBC Capital Markets/UBS Investment Bank/Raymond James/Goldman Sachs/Deutsche Bank Securities/Citizens Capital Markets/Texas Capital Securities,20.0,$12.00,$12.00,$240.00,Priced,S/O
2026-09-17,Tracx Logis Ltd,TRCX,Roth Capital Partners/Revere Securities,1.5,$18.00,$22.00,$30.00,TBA,S/O
2026-09-16,Haymaker Acquisition Corp. V,HYACU,Cantor/William Blair,25.0,$10.00,$10.00,$250.00,Priced,S/O
2026-09-16,Lower Cross Acquisitions Corp.,LCACU,BTIG,20.0,$10.00,$10.00,$200.00,TBA,S/O
2026-09-16,NuvOx Therapeutics,NUOX,ThinkEquity,2.9,$6.00,$8.00,$20.02,TBA,S/O
2026-09-16,OceanHawk Acquisition II,OHIIU,StoneX Financial,15.0,$10.00,$10.00,$150.00,TBA,S/O
2026-09-15,Amaero (Postponed),AMRO,Stifel/Baird,7.46,$7.06,$7.06,$52.67,Postponed,S/O
2026-09-15,American Savings Bank of Hawaii,ASBH,"Piper Sandler/Keefe, Bruyette & Woods (A Stifel Company)",8.06,$16.00,$16.00,$128.92,Priced,S/O
2026-09-15,GLGHK Ltd. (Golf Lifestyle),GLG,Pacific Century Securities,5.0,$5.00,$7.00,$30.00,TBA,S/O
2026-09-15,LYC Healthcare (Cayman) Ltd.,TBA,Pacific Century Securities,6.25,$4.00,$4.00,$25.00,TBA,S/O
2026-09-15,OTSAW Ltd. (Withdrawn),OTSA,Aegis Capital,4.4,$4.50,$5.50,$22.00,Withdrawn,S/O
2026-09-15,SPACCircle Acquisition,SCQCU,D. Boral Capital,15.0,$10.00,$10.00,$150.00,TBA,S/O
2026-09-14,Bamboo Insurance Services (Postponed),BMB,J.P.Morgan/Morgan Stanley/Deutsche Bank Securities/Evercore ISI/Wells Fargo Securities/Barclays/Goldman Sachs/Piper Sandler/CVC Capital Markets/Dowling & Partners Securities/Wedbush Securities,35.0,$18.00,$20.00,$665.00,Postponed,S/O
2026-09-11,FutureCore Acquisition,FTCRU,Polaris (A Division of Kingswood),7.5,$10.00,$10.00,$75.00,TBA,S/O
2026-09-11,Meey Global,TBA,ARC Group Securities,0.0,,,$35.00,TBA,S/O
2026-09-10,Allarity Acquisition Corp.,ALLNU,Maxim Group,10.0,$10.00,$10.00,$100.00,TBA,S/O
2026-09-10,Motive Technologies (Withdrawn),MTVE,J.P.Morgan/Citigroup/Barclays/Jefferies/RBC Capital Markets/Citzens JMP/KeyBanc Capital Markets/Societe Generale/Nomura Securities,0.0,,,$100.00,Withdrawn,S/O
2026-09-09,Elevation Acquisition Group,ELEVU,Maxim Group,10.0,$10.00,$10.00,$100.00,TBA,S/O
2026-09-09,Football Manager SPAC,FBLLU,D. Boral Capital,10.0,$10.00,$10.00,$100.00,TBA,S/O
2026-09-09,Harbour Island Acquisition Corp. I,HRIAU,Clear Street,10.0,$10.00,$10.00,$100.00,TBA,S/O
